"Marca temporal","Modalidad","Trabajo","Ciudad de trabajo (Ej.: Asunción)","Salario mensual","Puesto de trabajo (Ej.: Programador, Jefe de Proyecto, etc)"
"2018/09/14 11:34:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Jefe de proyecto"
"2018/09/14 6:08:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncio","Entre 9.000.000 a 12.000.000 gs","Analista Senior / Cientifico de Datos"
"2018/09/15 6:37:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","ASUNCIÓN ","Entre 5.000.000 a 7.000.000 gs","Programador "
"2018/09/15 6:49:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Arquitecto de Software, Sysadmin, DBA, ere erea..."
"2018/09/15 6:54:45 a.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/15 10:30:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Desarrollo"
"2018/09/15 11:25:53 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Gerente "
"2018/09/15 8:10:15 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Jefe de proyecto"
"2018/09/15 8:48:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/16 10:51:07 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista/Programador"
"2018/09/16 12:41:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Jefe de Proyectos"
"2018/09/16 2:36:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/16 6:42:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe "
"2018/09/16 11:30:39 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/17 12:12:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/17 12:17:04 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Líder de Proyecto"
"2018/09/17 10:19:59 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/17 10:43:03 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/17 1:46:43 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Gerente"
"2018/09/17 2:33:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de proyecto"
"2018/09/17 3:36:18 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador java"
"2018/09/17 6:16:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora ","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/17 6:17:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de proyecto "
"2018/09/18 10:15:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/18 10:19:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/18 10:22:32 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/18 10:24:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/18 10:26:01 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/18 10:28:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/18 10:37:56 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","PRogramador"
"2018/09/18 10:38:35 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/18 10:41:07 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador jr"
"2018/09/18 10:44:18 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/18 10:48:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/18 10:49:48 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/18 10:52:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/18 5:37:18 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Aprendiz"
"2018/09/19 9:28:16 a.m. GMT-4","Presencial","Nacional (Paraguay)","ñemby","Entre 5.000.000 a 7.000.000 gs","Programador android"
"2018/09/19 10:09:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Desarrollador"
"2018/09/19 2:03:56 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Veronica Schlottman"
"2018/09/20 10:32:42 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/20 3:08:34 p.m. GMT-4","Remoto","Internacional","Luque","Más de 18.000.000 gs","Software engineer"
"2018/09/20 3:11:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/20 3:20:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Analista y desarrollador "
"2018/09/20 3:35:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/20 3:37:36 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/20 3:44:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/20 3:45:21 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/20 4:15:41 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/20 4:26:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/20 4:30:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","PROGRAMADORA"
"2018/09/20 4:31:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 9.000.000 a 12.000.000 gs","Jefe de infraestructura "
"2018/09/20 4:31:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Sub-Gerente Desarrollo"
"2018/09/20 5:01:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/20 5:43:21 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/20 6:02:19 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador"
"2018/09/20 8:29:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Desarrollador Oracle "
"2018/09/20 8:42:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Analista"
"2018/09/20 9:52:13 p.m. GMT-4","Presencial","Nacional (Paraguay)","Luque","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/20 10:48:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador, jefe de proyecto... etc."
"2018/09/21 7:25:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 7:30:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista, Programador"
"2018/09/21 7:41:14 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/21 7:42:51 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Desarrollador"
"2018/09/21 7:43:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/21 7:47:56 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 8:01:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 8:19:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 8:21:13 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/21 8:41:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","fernando de la mora","Entre 9.000.000 a 12.000.000 gs","Gerente de TI"
"2018/09/21 8:44:58 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 9:32:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Lider de Proyecto"
"2018/09/21 9:33:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:33:26 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyectos"
"2018/09/21 9:33:33 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 9:35:04 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista Desarrollador"
"2018/09/21 9:35:33 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:35:46 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:36:07 a.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 3.500.000 a 5.000.000 gs","Desarrollador"
"2018/09/21 9:36:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Salario mínimo 2.112.562 gs","Programador"
"2018/09/21 9:37:06 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista/Programador Senior"
"2018/09/21 9:37:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","fernando de la mora","Entre 7.000.000 a 9.000.000 gs","jefe de proyecto"
"2018/09/21 9:37:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Analista de Sistemas Informaticos"
"2018/09/21 9:37:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:37:49 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 3.500.000 a 5.000.000 gs","Jefe de proyecto"
"2018/09/21 9:38:07 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","programador"
"2018/09/21 9:38:16 a.m. GMT-4","Remoto","Internacional","Asunción ","Más de 18.000.000 gs","Sr. Java Software Engineer "
"2018/09/21 9:38:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista - Programador"
"2018/09/21 9:39:18 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Analista desarrollador"
"2018/09/21 9:39:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador de Sistemas Seniors"
"2018/09/21 9:40:18 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:40:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:41:46 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Desarrollador"
"2018/09/21 9:41:47 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 3.500.000 a 5.000.000 gs","Analista "
"2018/09/21 9:42:18 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:42:34 a.m. GMT-4","Hibrído","Internacional","San Lorenzo","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 9:42:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Jefe de Informática"
"2018/09/21 9:43:55 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","desarrollador"
"2018/09/21 9:44:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:44:47 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Salario mínimo 2.112.562 gs","Analista, programador y soporte "
"2018/09/21 9:45:21 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:45:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:46:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador"
"2018/09/21 9:46:35 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista"
"2018/09/21 9:46:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","fernando de la mora","Menos del salario mínimo (2.112.562 gs)","desarrollador"
"2018/09/21 9:47:50 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncio ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:48:33 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:50:03 a.m. GMT-4","Presencial","Nacional (Paraguay)","Capiata","Salario mínimo 2.112.562 gs","Desarrollador web"
"2018/09/21 9:50:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador web Back end y front end."
"2018/09/21 9:50:38 a.m. GMT-4","Remoto","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:51:49 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:53:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista desarrollador"
"2018/09/21 9:53:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","Capiata ","Salario mínimo 2.112.562 gs","Desarrollado web"
"2018/09/21 9:53:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Arquitecto de Sistemas"
"2018/09/21 9:54:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Desarrollo de Software"
"2018/09/21 9:55:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 9:56:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Jefe de Informática "
"2018/09/21 9:56:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/21 9:56:49 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyectos "
"2018/09/21 9:56:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 9:56:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Coordinador y Desarrollador"
"2018/09/21 9:58:03 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Jefe de I+D"
"2018/09/21 10:00:58 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Menos del salario mínimo (2.112.562 gs)","Programador Junior"
"2018/09/21 10:02:07 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Tem Lider Plataformas"
"2018/09/21 10:03:47 a.m. GMT-4","Presencial","Internacional","San Lorenzo","Entre 2.112.562 gs a 3.500.000 gs","programador"
"2018/09/21 10:04:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Ypacarai","Entre 7.000.000 a 9.000.000 gs","Analista/Programador/Lider de Proyectos"
"2018/09/21 10:07:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 10:08:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 10:08:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Lambare","Entre 7.000.000 a 9.000.000 gs","Analista/Desarrollador"
"2018/09/21 10:17:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 10:17:53 a.m. GMT-4","Presencial","Nacional (Paraguay)","Villarrica","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 10:19:16 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Web developer"
"2018/09/21 10:19:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","ASU","Entre 5.000.000 a 7.000.000 gs","programador"
"2018/09/21 10:20:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador Full Stack"
"2018/09/21 10:20:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe de Proyecto"
"2018/09/21 10:20:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Mantenimiento de Sistemas"
"2018/09/21 10:21:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista de Sistemas"
"2018/09/21 10:22:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 10:24:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Implementador Junior"
"2018/09/21 10:26:10 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista Desarrollador"
"2018/09/21 10:26:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 10:28:30 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Full Stack Developer"
"2018/09/21 10:29:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/21 10:29:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador "
"2018/09/21 10:31:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Lambaré","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 10:31:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista/Programador"
"2018/09/21 10:33:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 10:34:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de proyecto"
"2018/09/21 10:35:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Gestor de Proyectos"
"2018/09/21 10:35:58 a.m. GMT-4","Presencial","Internacional","San Lorenzo","Entre 2.112.562 gs a 3.500.000 gs","Test Analyst Jr."
"2018/09/21 10:36:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 10:40:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción.","Entre 2.112.562 gs a 3.500.000 gs","Programador y Analista"
"2018/09/21 10:41:17 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 10:50:09 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/21 10:50:14 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","DBA"
"2018/09/21 10:50:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador de aplicaciones web"
"2018/09/21 10:50:51 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Programador"
"2018/09/21 10:51:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Itaugua ","Menos del salario mínimo (2.112.562 gs)","Programador "
"2018/09/21 10:57:20 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Analista de Datos"
"2018/09/21 10:57:30 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 10:59:59 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","programador, analista"
"2018/09/21 11:01:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 11:03:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 11:06:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 11:06:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 11:07:11 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Desarrollador front end"
"2018/09/21 11:08:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/21 11:10:07 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/21 11:10:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador Web"
"2018/09/21 11:14:10 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 11:15:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","lambare","Entre 3.500.000 a 5.000.000 gs","programador"
"2018/09/21 11:15:56 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Desarrollador"
"2018/09/21 11:16:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Desarrolladora"
"2018/09/21 11:17:09 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Jefe de Proyecto"
"2018/09/21 11:17:26 a.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 3.500.000 a 5.000.000 gs","Ingeniero Analista Programador"
"2018/09/21 11:17:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Administrador de Base de Datos"
"2018/09/21 11:23:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 11:23:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Desarrollador"
"2018/09/21 11:23:35 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador web"
"2018/09/21 11:25:10 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/21 11:26:38 a.m. GMT-4","Presencial","Nacional (Paraguay)","Lambaré","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 11:33:01 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 11:37:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 11:39:07 a.m. GMT-4","Remoto","Internacional","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador"
